id,reference,system,rouge1,rouge2,rougeL,bertscore_precision,bertscore_recall,bertscore_f1,hybrid_score,score_delta,disagreement_category,predicted_hybrid
DUC2004_001,"The United States launched military strikes against Iraq in March 2003, marking the beginning of the Iraq War. Coalition forces quickly overwhelmed Iraqi defenses and captured Baghdad within weeks.","American-led coalition forces initiated an invasion of Iraq in 2003, rapidly defeating the Iraqi military and seizing control of the capital city Baghdad.",0.4528,0.1176,0.2642,0.8749,0.8647,0.8698,0.6527,0.417,Mixed,0.6405
DUC2004_002,"Global climate change is causing rising sea levels, more frequent extreme weather events, and significant biodiversity loss, threatening ecosystems worldwide.","Rising sea levels, increased frequency of extreme weather, and loss of biodiversity are among the primary consequences of global climate change affecting Earth's ecosystems.",0.5333,0.2326,0.3556,0.8926,0.9097,0.9011,0.7089,0.3678,Semantic Match (ROUGE fails),0.6869
DUC2004_003,"The Human Genome Project was completed in 2003, providing a comprehensive map of all human genes and revolutionizing medicine and biological research.","Scientists finished mapping the complete human genetic code in 2003, a milestone known as the Human Genome Project that transformed biological sciences.",0.5,0.1905,0.3182,0.8706,0.8762,0.8734,0.6776,0.3734,Semantic Match (ROUGE fails),0.6588
DUC2004_004,"The September 11, 2001 terrorist attacks led to the deaths of nearly 3,000 people and fundamentally altered U.S. foreign policy, leading to wars in Afghanistan and Iraq.","Nearly three thousand individuals perished in the 9/11 attacks, which dramatically reshaped American foreign policy and triggered military campaigns in Afghanistan and Iraq.",0.4151,0.1569,0.3396,0.8851,0.864,0.8744,0.652,0.4593,Semantic Match (ROUGE fails),0.6508
DUC2004_005,"The euro was introduced as a common currency across the European Union in 2002, replacing national currencies and facilitating cross-border trade.","The euro became the unified currency of the European Union in 2002, superseding various national currencies and simplifying economic transactions.",0.5238,0.35,0.5238,0.9195,0.9138,0.9166,0.7334,0.3928,Semantic Match (ROUGE fails),0.7224
DUC2004_006,"Space Shuttle Columbia disintegrated upon reentry into Earth's atmosphere on February 1, 2003, killing all seven crew members aboard.","The Space Shuttle Columbia broke apart during reentry on February 1, 2003, resulting in the deaths of the seven astronauts on board.",0.4286,0.25,0.4286,0.9119,0.8913,0.9015,0.6855,0.4729,Semantic Match (ROUGE fails),0.6863
DUC2004_007,"The SARS epidemic spread across Asia and North America in 2003, infecting thousands and prompting global health emergency responses.","In 2003, the Severe Acute Respiratory Syndrome outbreak swept through Asian nations and parts of North America, affecting thousands and triggering international health alerts.",0.4186,0.1463,0.3256,0.894,0.9112,0.9025,0.6681,0.4839,Semantic Match (ROUGE fails),0.6674
DUC2004_008,"North Korea announced its withdrawal from the Nuclear Non-Proliferation Treaty in January 2003, escalating international concerns about nuclear proliferation.","Pyongyang declared it was pulling out of the nuclear non-proliferation agreement early in 2003, raising global alarm over the spread of nuclear weapons.",0.3182,0.1429,0.3182,0.8883,0.9073,0.8977,0.6396,0.5795,Semantic Match (ROUGE fails),0.6548
DUC2004_009,The U.S. economy experienced a mild recession in 2001 following the dot-com bubble burst and was further impacted by the September 11 attacks.,A modest economic downturn hit the United States in 2001 after technology stocks collapsed and the 9/11 terrorist attacks dealt additional blows to the financial system.,0.3462,0.04,0.2692,0.8599,0.8448,0.8523,0.6039,0.5061,Agreement-Low,0.6132
DUC2004_010,"China's economy grew at an unprecedented rate in the early 2000s, becoming the world's factory and lifting millions out of poverty through export-led growth.","In the early 2000s, China experienced extraordinary economic expansion, transforming into a global manufacturing hub and dramatically reducing domestic poverty levels.",0.2917,0.1304,0.25,0.8902,0.8557,0.8726,0.616,0.5809,Semantic Match (ROUGE fails),0.6281
DUC2004_011,Scientists discovered that regular physical exercise significantly reduces the risk of cardiovascular disease and extends life expectancy.,Research has shown that consistently working out lowers the chances of heart-related illnesses and contributes to a longer lifespan.,0.2162,0.0,0.2162,0.8546,0.8643,0.8594,0.5697,0.6432,Agreement-Low,0.5987
DUC2004_012,"The European Space Agency launched its Mars Express mission in June 2003, aimed at studying the Martian atmosphere and surface.","ESA sent its Mars exploration spacecraft into orbit in mid-2003, with objectives including investigation of the red planet's air and terrain.",0.2791,0.0488,0.2791,0.8656,0.8789,0.8722,0.6004,0.5931,Agreement-Low,0.6225
DUC2004_013,"The United Nations Security Council debated the legitimacy of the Iraq invasion, with France and Russia opposing military action without further inspections.",Stock markets around the world surged to record highs in early 2003 as investor confidence reached new peaks following strong quarterly earnings reports.,0.0444,0.0,0.0444,0.6833,0.6932,0.6882,0.424,0.6438,Agreement-Low,0.4704
DUC2004_014,"Obesity rates in developed nations have been rising steadily since the 1980s, driven by sedentary lifestyles and high-calorie diets.",Technological advancements in renewable energy led to a sharp decline in global oil prices throughout the 1990s and early 2000s.,0.15,0.0,0.15,0.772,0.7607,0.7663,0.4973,0.6163,Agreement-Low,0.5281
DUC2004_015,"The Hubble Space Telescope captured stunning images of distant galaxies, providing unprecedented views of the early universe.","The Hubble Space Telescope captured stunning images of distant galaxies, providing unprecedented views of the early universe.",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Agreement-High,0.8576
DUC2004_016,"Amazon expanded its logistics network significantly in the early 2000s, enabling faster delivery and growing its customer base dramatically.","Amazon greatly expanded its logistics network in the early 2000s, allowing it to deliver packages more quickly and substantially grow its customer base.",0.6667,0.45,0.6667,0.9415,0.9608,0.9511,0.8048,0.2844,Semantic Match (ROUGE fails),0.7779
DUC2004_017,"The Kyoto Protocol, adopted in 1997, required developed nations to reduce greenhouse gas emissions to combat global warming. The United States refused to ratify the agreement.","Many industrialized countries agreed to cut carbon emissions under the Kyoto Protocol, though participation varied across nations.",0.2791,0.0976,0.186,0.8345,0.8268,0.8306,0.5828,0.5515,Agreement-Low,0.5907
DUC2004_018,"Apple introduced the iTunes Music Store in April 2003, allowing users to purchase individual songs for 99 cents, transforming the music industry.","Apple launched a digital music platform in 2003 that offered single track purchases, which fundamentally changed how consumers bought music.",0.2857,0.0,0.2857,0.8768,0.8621,0.8693,0.593,0.5836,Agreement-Low,0.6173
DUC2004_019,"The U.S. Department of Homeland Security was established in 2002 in response to the September 11 attacks, consolidating 22 federal agencies.","Following the 2001 terrorist attacks, a new cabinet-level department was created in 2002 to coordinate national security efforts across multiple government bodies.",0.3556,0.0465,0.2667,0.8301,0.8021,0.8158,0.5854,0.4602,Agreement-Low,0.5907
DUC2004_020,"The Human Immunodeficiency Virus (HIV) pandemic continued to ravage sub-Saharan Africa in the early 2000s, with millions dying from AIDS-related illnesses annually.","Sub-Saharan Africa remained the epicenter of the HIV/AIDS crisis in the early 2000s, seeing millions of deaths each year from the disease and related complications.",0.5098,0.2041,0.3922,0.8753,0.8301,0.8521,0.6693,0.3423,Mixed,0.6535
